category	id	part_of_speech	description	slot	impl_key	params	remark
shape	dot	noun	single cell / 単一セル	head	feat_shape	topo=dot	builtin; verbalization sec.3; detection size==1
shape	bar	noun	straight line / 直線	head	feat_shape	topo=bar	builtin; verbalization sec.3; skeletal AND one bbox dim==1
shape	box	noun	filled square / 充填正方形	head	feat_shape	topo=box	builtin; verbalization sec.3; size==h*w AND h==w
shape	rect	noun	filled rectangle / 充填長方形	head	feat_shape	topo=rect	builtin; verbalization sec.3; size==h*w AND h!=w
shape	cross	noun	plus shape / プラス字	head	feat_shape	topo=cross	builtin; verbalization sec.3; skeletal AND 1 deg-4 junction + 4 endpoints
shape	ell	noun	L-bend / L字	head	feat_shape	topo=ell	builtin; verbalization sec.3; skeletal AND 0 junctions + 2 endpoints, both dims>1
shape	tee	noun	T-junction / T字	head	feat_shape	topo=tee	builtin; verbalization sec.3; skeletal AND 1 deg-3 junction + 3 endpoints
shape	ring	noun	encloses a hole / 穴を囲む	head	feat_shape	topo=ring	builtin; verbalization sec.3; background cells enclosed (border flood-fill)
shape	blob	noun	irregular fallback / 不規則(その他)	head	feat_shape	topo=blob	builtin; verbalization sec.3; fallback when no other base matches
behavior	controllable	adjective	agent avatar (grounded) / 操作可能アバター	controllability	feat_afford	affordance=controllable	builtin; verbalization sec.4; FR-168 grounded controllable; slot=controllability
behavior	autonomous	adjective	moves by itself, action-independent / 自律(action非依存)	behavior	feat_afford	affordance=autonomous	builtin; verbalization sec.4; same displacement under >=2 different actions
behavior	movable	adjective	pushable by action / 押せる	behavior	feat_afford	affordance=movable	builtin; verbalization sec.4; translate_support>0
behavior	vanishing	adjective	disappears on action / actionで消える	behavior	feat_afford	affordance=vanishing	builtin; verbalization sec.4; vanish_support>0
behavior	spawning	adjective	appears on action / actionで現れる	behavior	feat_afford	affordance=spawning	builtin; verbalization sec.4; spawn_support>0
behavior	recolorable	adjective	recolors without moving / 動かず色が変わる	behavior	feat_afford	affordance=recolorable	builtin; verbalization sec.4; response_support>0 AND translate_support==0
behavior	static	adjective	no dynamics observed yet / 動態未観測	behavior	feat_afford	affordance=static	builtin; verbalization sec.4; no affordance evidence (no modifier emitted)
behavior	marked	adjective	目立つ印/ゴールマークを持つ	behavior	feat_afford	affordance=mark	builtin; referenced by roles.tsv target (recognized_by has(marked))
behavior	pose-mutable	adjective	触れると姿勢/形が変わり自分と一緒に運ばれる	behavior	feat_afford	affordance=pose_mutable	builtin; referenced by roles.tsv carried-state (recognized_by has(pose-mutable))
behavior	interactive	adjective	別オブジェクトに型付き効果を起こす	behavior	feat_afford	affordance=interactive	builtin; referenced by roles.tsv interactor (recognized_by has(interactive)); backed by EffectSignature
behavior	interactive-target	adjective	相互作用で遠隔的に変えられる側	behavior	feat_afford	affordance=interactive_target	builtin; referenced by roles.tsv ref (recognized_by has(interactive-target)); OBJ side of an EffectSignature
behavior	is_field	adjective	背景/地の場 (per-object field flag) / 静的な場	behavior	feat_afford	affordance=field	builtin; isField per-object field flag; referenced by roles.tsv field (recognized_by has(is_field))
axis	render_scale	noun	block-upscale integer s axis (NOT object size) / ブロック整数倍率sの軸(sizeとは別)	size		axis=true	builtin; TERM RenderScale; names the block-upscale integer s axis only (transform.detect_scale returns s); object size VALUE = GameObject.size geometry attribute (bbox extent, s-independent), NOT a Characteristic magnitude; size != s
scale	upscaled	adjective	rendered at integer s>1 / s>1で拡大描画	size	feat_scale	axis=render_scale	builtin; convention id naming the block-upscale integer s only (canon names the axis, not graded values; transform.detect_scale returns s); object size VALUE lives on GameObject.size (geometry attr), not here; size (bbox extent) != block-upscale s
orientation	orientation	noun	rotation-axis name (NOT the pose value) / 回転軸の名(向きの値ではない)	behavior	feat_orient	axis=true	builtin; names the orientation axis only; orientation VALUE = GameObject.orientation geometry attribute (unit-vector, norm=1; same pattern as centroid), NOT a Characteristic magnitude; C4 index is a derived axis-aligned view (transform.orientation_index / transform.canonical_pose)
orientation	flipped	adjective	flipped / 鏡映(handedness)	behavior	feat_flipped	derived=reflected	builtin; derived bool from GameObject.reflected (handedness; reflected = C4-canonical != D4-canonical); value lives on GameObject, this Word is the derived view
logical	and	conjunction	logical AND / 論理積		op_and	arity=n; operands=Relation	builtin; operator Word (Origin=builtin); domain enum operator
logical	or	conjunction	logical OR / 論理和		op_or	arity=n; operands=Relation	builtin; operator Word
logical	not	adverb	logical negation / 否定		op_not	arity=1; operands=Relation	builtin; operator Word; unary
quantifier	exists	determiner	exists / ある object で成立		op_exists	arity=2; operands=Role,Relation	builtin; operands=[bound Role, body Relation] (domain Relation convention)
quantifier	forall	determiner	for all / 全 object で成立		op_forall	arity=2; operands=Role,Relation	builtin; operands=[bound Role, body Relation]
relation	inside	preposition	A is inside B / AがBの内側		rel_inside	arity=2; operands=Role,Role	builtin; relation operator Word
relation	overlaps	verb	A overlaps B / AとBが重なる		rel_overlaps	arity=2; operands=Role,Role	builtin; relation operator Word
relation	adjacent	adjective	A is adjacent to B / Aが4近傍で接する		rel_adjacent	arity=2; operands=Role,Role	builtin; relation operator Word; 4-touching
relation	collinear	adjective	A,B are collinear / A,Bが同一直線上		rel_collinear	arity=2; operands=Role,Role	builtin; relation operator Word
relation	matches	verb	A matches B on an attribute / A,Bが属性一致		rel_matches	arity=2; operands=Role,Role	builtin; relation operator Word; attribute-axis MATCH (attributes.py match)
relation	subset	verb	A is a subset of B (taxonomy) / AがBの下位		rel_subset	arity=2; operands=Word,Word	builtin; taxonomy Relation (e.g. subset(color,red)); operands are Words
relation	samekind	adjective	A,B are the same kind (taxonomy) / A,Bが同種		rel_samekind	arity=2; operands=Word,Word	builtin; taxonomy Relation; operands are Words
relation	has	verb	subject has Word X in its Profile / 主語の Profile が Word X を含む		rel_has	arity=1; operands=Word; subject=env-bound	builtin; relation operator Word; profile-membership predicate. subject = evaluation env (role-assignment: candidate object; goal: a bound Role). Used by roles.tsv recognized_by; semantics in gr-arc-3-operators.md (added 2026-06-27 for role recognition, ASSET-A).
relation	orientation-match	verb	A,B rotation-equivalent (symmetry-folded, graded) / 向き等価		rel_orientmatch	arity=2; operands=Role,Role	builtin; relation operator Word; GRADED truth [0,1] (first graded operator); 2D = 1/2(1+cos(k*(thetaA-thetaB))) folded by symmetry_order k; semantics in gr-arc-3-operators.md. See-also rel_matches (discrete attribute-axis equality)
transform	translate	verb	move along a vector / 平行移動	translate	xf_translate	axis=position; param=vec	builtin; TransformOperator enum
transform	rotate	verb	rotate by an angle / 回転	rotate	xf_rotate	axis=orientation; param=theta	builtin; TransformOperator enum
transform	scale	verb	rescale (integer factor) / 拡縮	scale	xf_scale	axis=render_scale; param=factor	builtin; TransformOperator enum id kept verbatim as 'scale'; feature axis renamed to render_scale to disambiguate
transform	recolor	verb	change colour / 色変更	recolor	xf_recolor	axis=color; param=color	builtin; TransformOperator enum
transform	cycle	verb	advance along a cycle list / 巡回前進	cycle	xf_cycle	axis=form; param=step	builtin; TransformOperator enum; cycle+k(cycle_list)
transform	set	verb	set to a value / 値設定	set	xf_set	axis=any; param=value	builtin; TransformOperator enum
behavior	clickable	adjective	responds to a click action at its location / クリックで反応	behavior	feat_afford	affordance=clickable	CONFIDENCE high. NEW feat_afford sub-modifier (vocabulary-ready: impl_key feat_afford is REGISTERED so this LOADS + dispatch-resolves; the affordance=clickable case in _detect_afford is DETECTOR-PENDING). MOTIVATED by the click-driven (ACTION 6) human plays r11l(167 clicks)/s5i5(596)/su15(543)/tn36(248)/vc33(306)/sb26(139)/lp85(click-only): the win is reached by clicking objects, not by an avatar. MECE: orthogonal to movable (push by direction-action) — a separate affordance axis value (interaction MODALITY = click vs push). Mirror of marked/pose-mutable/interactive (all feat_afford vocabulary-ready, detection pending).
behavior	gauge	adjective	monotone-shrinking HUD/budget strip (resource readout) / 単調縮小ゲージ	behavior	feat_afford	affordance=gauge	CONFIDENCE medium-high. NEW feat_afford sub-modifier (LOADS + resolves; detector-pending). The gauge concept ALREADY EXISTS in code (TERM-59 / agent/core/futility.py masks a monotone-shrinking gauge region from the revisit hash) but had NO Word. MOTIVATED by ls20 (the bottom move-budget strip 588588... shrinks as moves are spent) + HUD columns/strips in bp35/ka59/ar25. MECE: distinct from recolorable (changes colour in place without a monotone direction) and from is_field (background plane) — a gauge is a directional resource readout the agent must NOT treat as a revisitable state (RHAE-relevant). Ties to Move Budget (TERM-32).
behavior	blocking	adjective	prevents the avatar from entering its cells (wall / solid) / 進入を阻む壁	behavior	feat_afford	affordance=blocking	CONFIDENCE medium. NEW feat_afford sub-modifier (LOADS + resolves; detector-pending). The block() non-effect is named in verbalization §5d (block = the 'wall' non-effect) but had no behavior Word. MOTIVATED by the bordered frames/walls in ls20 (the 3-coloured rectangle borders the avatar cannot cross), re86 (long B/9 bars partition the board), wa30/sp80 (corridor walls). MECE: distinct from static (static = NO dynamics observed yet; blocking = a POSITIVE observed constraint that the avatar's move is rejected at this object's cells) and from movable (movable yields, blocking does not). Detection = avatar move-into is rejected / footprint never overlaps these cells.
behavior	lethal	adjective	contact triggers GAME_OVER (deadly object/cell the avatar or a click must avoid) / 接触で GAME_OVER	behavior	feat_afford	affordance=lethal	CONFIDENCE medium-high. NEW feat_afford sub-modifier (LOADS + resolves; detector-pending). MOTIVATED by the death-on-contact games tu93(15 GAME_OVER)/bp35(9)/wa30(6)/sp80(4)/su15(3): a directional move-into OR a click on these cells transitions state->GAME_OVER (verified: GAME_OVER follows the action, full_reset=False = per-level retry). MECE: distinct from blocking (blocking REJECTS the move with no death; lethal ACCEPTS the move then ends the level) and from static (no dynamics observed). Detection = contact (avatar footprint overlap, or action-6 at the cell) -> Outcome.state==over (reuse world_model OutcomeState.over / EffectSignature with an over outcome). Ties to survive-hazard goal_kind + danger_map/reachability_timed_denial solvers + roles.tsv hazard. Mirror of marked/clickable/gauge/blocking (all feat_afford vocabulary-ready, detection pending).
relation	concentric	adjective	A,B share a center (co-centered / nested rings) / 同心		rel_concentric	arity=2; operands=Role,Role	relation operator Word; boolean geometry leaf = footprint centroids within half a cell. Promoted from words.backlog once the evaluator landed. inside = containment, not co-centered. Grounding: re86/cd82/g50t/tr87/m0r0. Unlocks active gp-concentric.
relation	equal-size	adjective	A,B have equal bbox extent (h x w) / 同寸		rel_equalsize	arity=2; operands=Role,Role	relation operator Word; boolean = GameObject.size extents equal. matches is axis-blind (operators.md:63) and cannot assert equal SIZE; this can. Grounding: dc22/ft09/ka59/sc25/tu93. Unlocks active gp-equal-size-match.
relation	mirrored	adjective	A is the reflected copy of B across an axis / 鏡映複製		rel_mirrored	arity=2; operands=Role,Role	relation operator Word; boolean = reflected-pair test (h or v flip mod translation). orientation-match folds rotation; this is the reflection-pair. Grounding: m0r0/sc25/vc33. Unlocks active gp-mirror-copy AND fold-serves gp-symmetrize.
