category	id	goal_kinds	world_signature	verification_horizon	backend	parts	algorithm	description	remark
algebraic	gf2_linear	satisfy-constraints	linear system over GF(2); order-free (commutative toggles)	~0	ConstrainedGenerator		Gaussian elimination mod 2	Reach a target state via commutative toggles.	v001 lib numpy%2,galois,sympy GF(2); ex Lights Out; round1. TRAP: looks like region_fill but is gf2_linear - key on commutative-toggle NOT surface (v001 conditional). One-shot (no search)
algebraic	modular_arith	count-parity-mod	deterministic; closed-form structure	~0	ConstrainedGenerator		modular arithmetic, parity invariants, closed-form recursion	Count/parity/MOD/ordering invariant, closed-form.	v001 lib native numpy%n; ex Tower-of-Hanoi/MOD-parity/counting; round1. often no search. backend: closed-form synthesis not state search
matching	matching	pair-assign	bipartite	low	SearchHeuristic		Hungarian / max-flow bipartite matching	Pair up / assignment.	v001 lib scipy linear_sum_assignment,networkx; ex memory-pairs/Mahjong-pairs/jigsaw-assign; round1
matching	meld_partition	clear-match;pair-assign	multiset, no-double-use; distance-to-goal	med	SearchHeuristic		DP / min-cost set-cover; shanten deficiency; F_3 line-detection	Partition tokens into sets+runs minimizing residual.	v001 lib custom DP; ex Gin Rummy/Mahjong-shanten/Set; round2. goal_kinds: forms melds (pair-assign) toward clearing (clear-match); goal_kind fit imperfect
matching	tile_clear_solvability	clear-match	layered free/blocked dependency DAG	med	SearchHeuristic		DFS+memo / SAT over removal order; deadlock-free ordering	Remove matching FREE tiles to empty the board.	v001 lib custom,z3; ex Mahjong-solitaire/Shisen-Sho; round2. used by gp-clear-all
group	group_permutation	reach-permutation	group-structured, reversible	high	SearchHeuristic		group theory (Schreier-Sims) + IDA*/pattern-DB; two-phase (Kociemba)	Reach identity/target permutation via reversible generators.	v001 lib sympy.combinatorics,kociemba; ex Rubik/pancake/token-swap; round1
stochastic-sim	cascade_sim	clear-match	cascade + stochastic refill	low-med	Simulator		greedy/beam over candidate moves + forward cascade simulation	Plan swaps to trigger clearing chains.	v001 lib custom,numpy; ex match-3/Dr.Mario/Shisen; round1. backend=Simulator (forward cascade)
stochastic-sim	expectimax	reach-number	stochastic spawns/transitions	med	Simulator		expectimax (chance nodes) + heuristics (monotonicity,empty)	Reach a number / best move under random transitions.	v001 lib custom; ex 2048/Threes/RPG-battle; round1. backend=Simulator (chance-node rollouts)
stochastic-sim	stochastic_dp	optimize-resource	stochastic MDP, single-agent	low	Simulator		backward-induction EV tables; optimal-stopping (threshold/1-e rule)	Maximize expected score under dice/draw.	v001 lib custom DP; ex Yahtzee/Blackjack/secretary; round2. used by gp-threshold-survive. v001 horizon low (precomputed). backend=Simulator (EV over stochastic transitions)
physics	physics_param	reach-config	continuous rigid-body simulation	low	Simulator		forward physics sim wrapped in black-box parameter optimization	Land an object at a target.	v001 lib pymunk/Box2D+scipy.optimize/CMA-ES; ex Angry Birds/Cut-the-Rope; round1. NEEDS a real physics engine. carries v001 land-target (MERGED into reach-config; projectile-not-avatar nuance lives here). v001 horizon low (costly/trial)
physics	trajectory_reachability	traverse-physics	kinodynamic (jump arcs, moving platforms)	med	SearchHeuristic		jump-arc reachability + sequential subgoal planning	Traverse via jumps/gravity to a goal + subgoals.	v001 lib custom; ex Super Mario/Mega Man; round2. backend: discrete jump-arc reachability search (not continuous sim)
physics	optimal_line_control	traverse-physics	momentum / control limits	med	Simulator		optimal-line (min-time path) + control (MPC); rival-aware	Minimum-time path under vehicle dynamics.	v001 lib custom,scipy.optimize; ex F-Zero/Excitebike; round2. backend: MPC rolls a dynamics model forward (ambiguous vs SearchHeuristic)
physics	timing_phase_alignment	reach-config	periodic phase; latency	low	Simulator		period/phase estimation + latency-compensated trigger scheduling	Act on the correct tick / sync to a period.	v001 lib custom; ex rhythm/moving-platform-sync/ls20-phase; round2. CONDITIONAL: generalizes the ad-hoc ls20 phase model. goal_form act-on-correct-tick normalized to reach-config. backend: estimates+simulates a periodic schedule
hidden-info	deduction	deduce-hidden	partial observability	high	ConstrainedGenerator		constraint propagation + probabilistic/info-theoretic query (max-entropy)	Deduce hidden state via constraints + active probes.	v001 lib z3,pysat+custom belief; ex Minesweeper/Mastermind; round1. CONDITIONAL: ties to Probe + verification_horizon (evidence accrues over moves). used by gp-exists-match. backend: constraint-model + query synthesis
hidden-info	adversarial	force-win	turn-based zero-sum OR impartial heap-decomposable	high	SearchHeuristic		minimax+alpha-beta(+TT); MCTS-PUCT; Sprague-Grundy; retrograde tablebase	Force win / mate-in-N (perfect info).	v001 lib python-chess,custom,mcts; ex chess/checkers/Connect-4/Nim/Othello; round1. CONDITIONAL: only if env has an opponent (ARC-AGI-3 mostly single-agent)
hidden-info	determinization_pimc	force-win	imperfect-info adversary	high	Simulator		determinization + ISMCTS / PIMC (sample hidden hands, solve, vote)	Win tricks vs hidden opponent hands.	v001 lib OpenSpiel(ismcts); ex Hearts/Spades/Skat/Bridge; round2. CONDITIONAL: hidden-hand opponent. backend: samples+simulates determinized worlds
hidden-info	cfr_equilibrium	force-win	hidden cards + stochastic + adversarial	high	Simulator		Counterfactual Regret Minimization (CFR/CFR+/MCCFR)	Approximate Nash under bluffing/betting.	v001 lib OpenSpiel(cfr,mccfr,deep_cfr); ex Poker; round2. CONDITIONAL: bluffing adversary. backend: self-play simulation of the game tree
hidden-info	public_belief_pomdp	force-win	cooperative, partial info, conventions/ToM	high	Simulator		public-belief-state MDP + grounded-belief/convention tracking	Cooperative score with hidden own-hand + hints.	v001 lib OpenSpiel(hanabi); ex Hanabi; round2. CONDITIONAL: cooperative hidden-info. goal_kind: cooperative scoring mapped to force-win (best-outcome game-solve)
map-control	pursuit_evasion	survive-hazard	moving adversaries; +directional vision (stealth)	med	SearchHeuristic		joint-state safe-set / cop-number / minimax-over-pursuer; visibility gaps	Evade N pursuers (or capture) on a map.	v001 lib networkx,custom; ex Pac-Man/Metal Gear; round2
map-control	danger_map	survive-hazard	many real-time threats / bullets	low	Simulator		repulsive potential / distance-transform threat field + gradient descent; lead-target	Survive dense threats (+lead-fire at movers).	v001 lib numpy,scipy.ndimage; ex Robotron/Space Invaders/run-and-gun; round2. reactive (horizon low). used by gp-threshold-survive. backend: forward threat-field over moving bullets (ambiguous vs reactive heuristic)
map-control	reachability_timed_denial	survive-hazard	cells become impassable at known future ticks	low	SearchHeuristic		flood over (cell,t) with per-cell explode-at mask	Survive self/timed hazards; reach a safe cell first.	v001 lib custom (deque); ex Bomberman/Dyna Blaster; round2
map-control	agent_herding	route-flock	many autonomous agents follow local rules	med	ConstrainedGenerator		shepherding / static-directive placement (controller synthesis) + flow-field	Route a passive/autonomous flock to a goal (open-loop).	v001 lib custom,numpy; ex Lemmings/ChuChu/Pikmin; round2. backend: synthesizes a static controller/placement (ambiguous vs Simulator)
planning	gated_reachability	reach-config	key->door dependency DAG + acquired-capability set	med	SearchHeuristic		dependency-ordered subgoal planning; reachability under capability set	Reach a goal under capability/key gates.	v001 lib networkx,custom; ex Metroidvania/Zelda lock-key; round2. used by gp-orient-deliver/gp-attr-deliver-into/gp-enter-region/gp-multi-deliver/gp-place-inside-match. goal_form reach-goal-under-gates normalized to reach-config
planning	resource_scheduling	optimize-resource	resources, production, deadlines	med	ConstrainedGenerator		ILP / scheduling / production-planning optimization	Optimize an objective under budget/throughput.	v001 lib ortools(CP-SAT),PuLP; ex sim/economy/management; round2
meta	composite		independent sub-structure (Law E)	max(parts)	SearchHeuristic		solve each axis independently with a sub-Solver, then combine	Solve axis-factored goals (color x position) by parts.	v001 lib parts (sub-Solvers); ex axis-factored goals; round1. goal_form goal-factorable-into-independent-axes. used by gp-multi-deliver. POLYMORPHIC/runtime-bound: applies to any goal_kind; parts bound at runtime (empty per orchestrator override). backend=max-of-parts defaulted SearchHeuristic
meta	nrpa_adaptive_playout		large single-agent search space	high	SearchHeuristic		Nested Rollout Policy Adaptation (NRPA/NMCS): learn a rollout policy online	Hard single-agent solve via adaptive playout policy.	v001 lib custom; ex Klondike/Morpion solitaire; round2. CONDITIONAL: enhancer on search (wraps ANY search solver). POLYMORPHIC/runtime-bound: applies to any goal_kind; parts bound at runtime (empty per orchestrator override)
meta	stuck_state_reachability	survive-hazard	discard/playability graph	med	SearchHeuristic		reachability + no-legal-move (stuck) pruning	Avoid dead-ends (shedding / no legal move).	v001 lib custom; ex UNO/Crazy-Eights/Spider; round2. goal_form avoid-dead-ends normalized to survive-hazard (persistence/no-stuck)
structure	replicate_template	replicate-template	reference object + blank/overwritable target region(s); cell-addressable edits	high	ConstrainedGenerator		extract reference cells -> map onto each target region (translate/mirror/recolor align) -> emit per-cell paint plan; verify region-equality	Reproduce a shown reference/template object into one or more target regions until each target equals the reference.	CONFIDENCE high: tu93/sc25/vc33/m0r0/ka59/dc22/lf52 humans copy a shown motif into blank/mirrored target cells. MECE: fills the hole under goal_kind replicate-template (region-equality to a referent) that region_fill (connectivity) / exact_cover (piece packing) / csp (per-cell predicate) do not cover. backend=ConstrainedGenerator (synthesizes the target region from the reference, then a master verifies equality). DEPENDS ON goal_kind replicate-template. action-space NOTE: usually realized via click-place edits (see cursor_edit_planner).
action-space	cursor_edit_planner	satisfy-constraints;replicate-template;clear-match;enclose-area	cursor/click action space: any board cell is directly addressable (no avatar transit); each act = paint/select/toggle one cell	high	SearchHeuristic	csp;gf2_linear;replicate_template	target-state diff -> order-free set of cell edits -> greedy/region-batched click plan (no path cost; reachability is uniform)	Plan a sequence of direct cell edits (clicks) to reach a target board state when every cell is directly addressable.	CONFIDENCE high: s5i5/lp85/r11l/su15/tn36/vc33/ft09/sb26/bp35/dc22/lf52 are solved by clicking arbitrary board cells (clicks span the whole board, 94-465 unique cells), NOT by moving an avatar. MECE GAP: all 47 shipped families assume a movement/transit action space (path cost) or pure offline synthesis; none models the click/cursor place-and-paint action space where cell reachability is uniform and the plan is an order-free edit set. This is an ACTION-SPACE family (a modifier/wrapper over the goal solver: it turns a target-state into a click plan). parts FK existing solvers it wraps. New category action-space proposed (coordinate MECE-axis note in report).
planning	latent_state_advance	deduce-hidden;reach-config	a single interact/cycle action advances an opaque internal state; observe between presses; no spatial transit	med	Simulator		probe-then-model: press interact, observe state delta, induce the transition/cycle, then drive to the target state	Advance an opaque latent state by repeated interact, inducing the transition rule from observation.	CONFIDENCE medium-high (raised in the MECE re-pass: this-session renders + score-by-action traces confirm sp80 = all 6 level-ups from interact-5 producing a drawn nested structure, cd82 = interact-cycle a token's colour then assemble, sb26 = interact-confirm, wa30 = interact state-gating): sp80 (6 score steps ALL from interact, observation gaps between), cd82 (first steps via interact-cycle then click-confirm), wa30 (interact-heavy state toggling). MECE: timing_phase_alignment covers PERIODIC-tick sync but not 'press to advance a discrete latent state, observe, deduce the cycle'; deduction covers hidden-state CSP but not an action-driven transition model. backend=Simulator (rolls the induced transition model forward). Maps to deduce-hidden (induce the rule) + reach-config (drive to target).
